buyer_name,buyer_department,buyer_region,source_system,source_buyer_id
Agency for International Development,Agency for International Development,United States Federal Government,USAspending,BUY-635589b7f6ef
Department of Commerce,National Oceanic and Atmospheric Administration,United States Federal Government,USAspending,BUY-dd35df2a68d0
Department of Commerce,U.S. Census Bureau,United States Federal Government,USAspending,BUY-4f23202cb21c
Department of Defense,Defense Contract Management Agency,United States Federal Government,USAspending,BUY-68eda450c8b9
Department of Defense,Defense Health Agency,United States Federal Government,USAspending,BUY-916e4eb67c8b
Department of Defense,Department of the Air Force,United States Federal Government,USAspending,BUY-4175d8557aad
Department of Defense,Department of the Army,United States Federal Government,USAspending,BUY-a481c9d6717b
Department of Defense,Department of the Navy,United States Federal Government,USAspending,BUY-893be9bd11ed
Department of Defense,Missile Defense Agency,United States Federal Government,USAspending,BUY-6143d360cdad
Department of Education,Department of Education,United States Federal Government,USAspending,BUY-e17b82a29d6e
Department of Energy,Department of Energy,United States Federal Government,USAspending,BUY-ab7aba08e9d6
Department of Health and Human Services,Administration for Children and Families,United States Federal Government,USAspending,BUY-e3a486737e89
Department of Health and Human Services,Centers for Medicare and Medicaid Services,United States Federal Government,USAspending,BUY-cef66e3ff7af
Department of Health and Human Services,National Institutes of Health,United States Federal Government,USAspending,BUY-72b43ff898c8
Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,United States Federal Government,USAspending,BUY-190e3568696f
Department of Homeland Security,U.S. Coast Guard,United States Federal Government,USAspending,BUY-f1042bd83adc
Department of Homeland Security,U.S. Customs and Border Protection,United States Federal Government,USAspending,BUY-c6fbcf567ef8
Department of State,Department of State,United States Federal Government,USAspending,BUY-748ecdfa9095
Department of Transportation,Federal Aviation Administration,United States Federal Government,USAspending,BUY-32bb985b1e10
Department of Veterans Affairs,Department of Veterans Affairs,United States Federal Government,USAspending,BUY-a52c9cb754d6
General Services Administration,Federal Acquisition Service,United States Federal Government,USAspending,BUY-eb9205aaffb7
National Aeronautics and Space Administration,National Aeronautics and Space Administration,United States Federal Government,USAspending,BUY-517085245e38
National Science Foundation,National Science Foundation,United States Federal Government,USAspending,BUY-0361b56e206f
Social Security Administration,Social Security Administration,United States Federal Government,USAspending,BUY-111995401d98
