po_number,line_number,item_description,category_code,quantity,unit_price,line_amount
HT940216C0001,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,266,86882385.51,23110714545.9
HT940216C0001,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,95,185615540.98,17633476393.28
HT940216C0001,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,356,29564646.98,10525014323.85
DEAC0494AL85000,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,94,135890833.42,12773738341.28
DEAC0494AL85000,2,Energy services,CAT-ENERGY-UTILITIES,460,32995544.49,15177950467.56
DEAC0494AL85000,3,Fuel and utility services,CAT-ENERGY-UTILITIES,174,115586637.2,20112074872.48
DENA0003525,1,Business analysis support,CAT-PROFESSIONAL-SERVICES,305,36706310.49,11195424699.72
DENA0003525,2,Technical advisory services,CAT-PROFESSIONAL-SERVICES,78,268904522.22,20974552732.77
DENA0003525,3,Technical advisory services,CAT-PROFESSIONAL-SERVICES,210,48573018.9,10200333968.26
DEAC0500OR22725,1,Power systems maintenance,CAT-ENERGY-UTILITIES,228,64427082.85,14689374889.45
DEAC0500OR22725,2,Energy services,CAT-ENERGY-UTILITIES,164,54657519.92,8963833266.27
DEAC0500OR22725,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,83,97618715.77,8102353409.29
DEAC0500OR22725,4,Utility infrastructure support,CAT-ENERGY-UTILITIES,423,24445703.79,10340532701.95
DEAC5207NA27344,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,116,188805941.03,21901489159.45
DEAC5207NA27344,2,Power systems maintenance,CAT-ENERGY-UTILITIES,337,25180590.63,8485859042.69
DEAC5207NA27344,3,Environmental and energy operations,CAT-ENERGY-UTILITIES,17,629551879.75,10702381955.8
DEAC3243AL00036,1,Energy services,CAT-ENERGY-UTILITIES,138,83275795.12,11492059726.72
DEAC3243AL00036,2,Power systems maintenance,CAT-ENERGY-UTILITIES,388,29519524.0,11453575312.73
DEAC3243AL00036,3,Power systems maintenance,CAT-ENERGY-UTILITIES,391,31586419.9,12350290179.73
N0001917C0001,1,Defense platform components,CAT-AEROSPACE-DEFENSE,189,57818391.07,10927675912.36
N0001917C0001,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,476,19835827.98,9441854120.84
N0001917C0001,3,Defense platform components,CAT-AEROSPACE-DEFENSE,40,119858161.5,4794326459.81
N0001917C0001,4,Military program support,CAT-AEROSPACE-DEFENSE,190,22191210.73,4216330038.97
