supplier_name,supplier_country,supplier_state,supplier_city,supplier_type,is_active,source_system,source_supplier_id
381 CONSTRUCTORS,,,,Public Procurement Recipient,True,USAspending,SUP-9f6ef1fa3511
ACCENTURE FEDERAL SERVICES LLC,,,,Public Procurement Recipient,True,USAspending,SUP-16ae68a721b3
AEROJET ROCKETDYNE COLEMAN AEROSPACE INC,,,,Public Procurement Recipient,True,USAspending,SUP-1a7b84ca5478
"AEROJET ROCKETDYNE OF DE, INC",,,,Public Procurement Recipient,True,USAspending,SUP-94a2da1da0ea
AIRBUS US SPACE & DEFENSE INC,,,,Public Procurement Recipient,True,USAspending,SUP-7661897ce151
"ALLIANCE FOR ENERGY INNOVATION, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-feed0a99a669
"AMENTUM SERVICES, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-63374ed1f372
"AMENTUM TECHNOLOGY, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-184ac9783ece
"AMI METALS, INC",,,,Public Procurement Recipient,True,USAspending,SUP-5ed9d1571df7
"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-868e3fa8a745
"AT&T ENTERPRISES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-55a2704d96c8
"AUSTAL USA, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-a544e6ce5ce2
BAE SYSTEMS LAND & ARMAMENTS L.P.,,,,Public Procurement Recipient,True,USAspending,SUP-be4832a386e6
BAE SYSTEMS LAND AND ARMAMENTS L.P.,,,,Public Procurement Recipient,True,USAspending,SUP-78ad5c8ae84b
BAE SYSTEMS ORDNANCE SYSTEMS INC.,,,,Public Procurement Recipient,True,USAspending,SUP-7a969a5f4189
BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,,,,Public Procurement Recipient,True,USAspending,SUP-04933c5b84a8
"BARNARD CONSTRUCTION COMPANY, INCORPORATED",,,,Public Procurement Recipient,True,USAspending,SUP-eb26c506a5ae
BATH IRON WORKS CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-fe85bbfd492c
"BATTELLE ENERGY ALLIANCE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-6941a144ed28
BATTELLE MEMORIAL INSTITUTE,,,,Public Procurement Recipient,True,USAspending,SUP-befbe73a7e9d
"BATTELLE SAVANNAH RIVER ALLIANCE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-658e52f9ce49
BAVARIAN NORDIC A/S,,,,Public Procurement Recipient,True,USAspending,SUP-236c2d25dffe
"BECHTEL NATIONAL, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-3096a844fee9
"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",,,,Public Procurement Recipient,True,USAspending,SUP-507777c8056b
"BECHTEL PLANT MACHINERY, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-3363fbcdf138
BELL BOEING JOINT PROJECT OFFICE,,,,Public Procurement Recipient,True,USAspending,SUP-ed5a0b25b2ee
BELL HELICOPTER TEXTRON INC,,,,Public Procurement Recipient,True,USAspending,SUP-39636213bad2
BELL TEXTRON INC,,,,Public Procurement Recipient,True,USAspending,SUP-0d0953f832ba
BFBC LLC,,,,Public Procurement Recipient,True,USAspending,SUP-c685d8b1576c
"BLUE ORIGIN MANUFACTURING, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-1380472671a9
"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-22cc15081efd
"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",,,,Public Procurement Recipient,True,USAspending,SUP-ef9a0030b066
BOOZ ALLEN HAMILTON INC,,,,Public Procurement Recipient,True,USAspending,SUP-4b808cba243c
"BRIGHTON MARINE, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-a7209b29e9c4
BROOKHAVEN SCIENCE ASSOCIATES LLC,,,,Public Procurement Recipient,True,USAspending,SUP-68e2ae480e42
"BWXT Y - 12, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-76935143f64b
CALIFORNIA INSTITUTE OF TECHNOLOGY,,,,Public Procurement Recipient,True,USAspending,SUP-e67c80701e7b
CANADIAN COMMERCIAL CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-62bab1e6267d
"CENTRAL PLATEAU CLEANUP COMPANY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-5cf08effaa5b
CH2M HILL PLATEAU REMEDIATION COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-bc5aada23a9f
"CHEMONICS INTERNATIONAL, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-baf457e602bd
CHRISTUS HEALTH,,,,Public Procurement Recipient,True,USAspending,SUP-a1394f456d50
"CONSOLIDATED NUCLEAR SECURITY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-65042875dcd1
DELL FEDERAL SYSTEMS L.P,,,,Public Procurement Recipient,True,USAspending,SUP-03d93207cb5a
DELL MARKETING L.P.,,,,Public Procurement Recipient,True,USAspending,SUP-d2bcd303115a
DEPLOYED RESOURCES LLC,,,,Public Procurement Recipient,True,USAspending,SUP-54f4c551c841
DRAGADOS/HAWAIIAN DREDGING/ORION JV,,,,Public Procurement Recipient,True,USAspending,SUP-8fbf9cc725ed
"EASTERN SHIPBUILDING GROUP, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-ab6e3537225d
ELECTRIC BOAT CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-d0f49288a174
EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,,,,Public Procurement Recipient,True,USAspending,SUP-2095659fd30b
EVERNORTH FEDERAL SERVICES INC,,,,Public Procurement Recipient,True,USAspending,SUP-a3ce42103268
"FERMI FORWARD DISCOVERY GROUP, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-93cd477d9c2e
"FERMI RESEARCH ALLIANCE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-6c5e6c960e38
FISHER SAND & GRAVEL CO,,,,Public Procurement Recipient,True,USAspending,SUP-accfeed20f92
"FLUOR FEDERAL PETROLEUM OPERATIONS, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-a3e4eb66d66b
"FLUOR INTERCONTINENTAL, INC",,,,Public Procurement Recipient,True,USAspending,SUP-34ca7ac6932e
"FLUOR MARINE PROPULSION, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-eb9fab0a3eed
FLUOR-BWXT PORTSMOUTH LLC,,,,Public Procurement Recipient,True,USAspending,SUP-87d8d19cb1e0
GENERAL ATOMICS,,,,Public Procurement Recipient,True,USAspending,SUP-ee32a3952133
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-6651a24ea558
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-0e35d0249b5e
GENERAL DYNAMICS LAND SYSTEMS INC.,,,,Public Procurement Recipient,True,USAspending,SUP-c4a80f236b95
GENERAL ELECTRIC COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-e9392087a873
"HAMILTON SUNDSTRAND SPACE SYSTEMS INTERNATIONAL, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-4e302672289c
"HANFORD TANK WASTE OPERATIONS & CLOSURE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-cacf4326bae5
HARRIS CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-6786046afc89
"HEALTH NET FEDERAL SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-aff48200bff8
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-a87c52cc0a23
HONEYWELL INTERNATIONAL INC.,,,,Public Procurement Recipient,True,USAspending,SUP-ff6644ed73e2
HONEYWELL TECHNOLOGY SOLUTIONS INC.,,,,Public Procurement Recipient,True,USAspending,SUP-65dea44fdc82
HUMANA GOVERNMENT BUSINESS INC,,,,Public Procurement Recipient,True,USAspending,SUP-7719ec3efdd1
HUNTINGTON INGALLS INC,,,,Public Procurement Recipient,True,USAspending,SUP-9e1f2b902c1e
HUNTINGTON INGALLS INCORPORATED,,,,Public Procurement Recipient,True,USAspending,SUP-52d3423a04fe
IDAHO ENVIRONMENTAL COALITION LLC,,,,Public Procurement Recipient,True,USAspending,SUP-29a41a2a6714
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,Public Procurement Recipient,True,USAspending,SUP-8f109b456523
"JEFFERSON SCIENCE ASSOCIATES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-da0a8309a33b
JT4 LLC,,,,Public Procurement Recipient,True,USAspending,SUP-e0ea4b186512
"KBR SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-27c51cffaffd
