internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Description,NAICS Code,NAICS Description,Place of Performance City Code,Place of Performance State Code,Place of Performance Country Code,awarding_agency_id,agency_slug,generated_internal_id
307885715,HT940216C0001,HUMANA GOVERNMENT BUSINESS INC,2016-08-01,2025-12-31,51269205263.03,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,KY,USA,1173,department-of-defense,CONT_AWD_HT940216C0001_9700_-NONE-_-NONE-
295476065,DEAC0494AL85000,LOCKHEED MARTIN CORP,1993-10-15,2017-04-30,48063763681.32,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NM,USA,930,department-of-energy,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-
295527116,DENA0003525,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",2017-01-18,2027-04-30,42370311400.75,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NM,USA,930,department-of-energy,CONT_AWD_DENA0003525_8900_-NONE-_-NONE-
295476106,DEAC0500OR22725,UT-BATTELLE LLC,1999-10-15,2030-03-31,42096094266.96,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,TN,USA,930,department-of-energy,CONT_AWD_DEAC0500OR22725_8900_-NONE-_-NONE-
295477233,DEAC5207NA27344,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",2007-05-09,2031-09-30,41089730157.94,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,CA,USA,930,department-of-energy,CONT_AWD_DEAC5207NA27344_8900_-NONE-_-NONE-
295476983,DEAC3243AL00036,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",1978-09-30,2006-05-31,35295925219.18,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NM,USA,930,department-of-energy,CONT_AWD_DEAC3243AL00036_8900_-NONE-_-NONE-
309494502,N0001917C0001,LOCKHEED MARTIN CORPORATION,2017-11-17,2031-03-31,35135514910.2,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001917C0001_9700_-NONE-_-NONE-
292027610,89233218CNA000001,"TRIAD NATIONAL SECURITY, LLC",2018-06-08,2028-10-31,35040435873.75,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NM,USA,930,department-of-energy,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-
309506838,N0002417C2100,ELECTRIC BOAT CORPORATION,2017-02-14,2036-06-02,34664220619.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0002417C2100_9700_-NONE-_-NONE-
295526820,DENA0001942,"CONSOLIDATED NUCLEAR SECURITY, LLC",2013-01-08,2027-09-30,34070138513.79,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,TN,USA,930,department-of-energy,CONT_AWD_DENA0001942_8900_-NONE-_-NONE-
298557808,FA862511C6600,THE BOEING COMPANY,2011-02-24,2027-07-31,31960918249.03,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,WA,USA,1173,department-of-defense,CONT_AWD_FA862511C6600_9700_-NONE-_-NONE-
309506843,N0002417C2117,ELECTRIC BOAT CORPORATION,2017-09-21,2031-12-31,30979375853.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-
295476174,DEAC0576RL01830,BATTELLE MEMORIAL INSTITUTE,1978-09-15,2027-09-30,30520604861.61,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,WA,USA,930,department-of-energy,CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-
309496612,N0001920C0009,LOCKHEED MARTIN CORPORATION,2019-11-26,2028-06-01,30140182630.06,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001920C0009_9700_-NONE-_-NONE-
295477180,DEAC5206NA25396,LOS ALAMOS NATIONAL SECURITY LLC,2005-12-21,2018-10-31,27422768630.96,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NM,USA,930,department-of-energy,CONT_AWD_DEAC5206NA25396_8900_-NONE-_-NONE-
295476437,DEAC0908SR22470,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,2008-01-10,2026-09-30,27139821087.23,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,SC,USA,930,department-of-energy,CONT_AWD_DEAC0908SR22470_8900_-NONE-_-NONE-
295476322,DEAC0705ID14517,"BATTELLE ENERGY ALLIANCE, LLC",2004-11-09,2029-09-30,26114643335.95,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,ID,USA,930,department-of-energy,CONT_AWD_DEAC0705ID14517_8900_-NONE-_-NONE-
309498654,N0001923C0003,LOCKHEED MARTIN CORPORATION,2022-12-23,2030-09-30,24500661983.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001923C0003_9700_-NONE-_-NONE-
307885716,HT940216C0002,"HEALTH NET FEDERAL SERVICES, LLC",2016-08-01,2026-05-01,23493318778.12,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_HT940216C0002_9700_-NONE-_-NONE-
311267295,NAS1510000,THE BOEING COMPANY,1993-11-15,2026-09-30,22437793940.54,National Aeronautics and Space Administration,National Aeronautics and Space Administration,DEFINITIVE CONTRACT,,,,,TX,USA,862,national-aeronautics-and-space-administration,CONT_AWD_NAS1510000_8000_-NONE-_-NONE-
295476177,DEAC0584OR21400,"LOCKHEED MARTIN SERVICES, LLC",1984-04-30,2027-02-28,20646113720.09,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,TN,USA,930,department-of-energy,CONT_AWD_DEAC0584OR21400_8900_-NONE-_-NONE-
307885549,HT940211C0003,HUMANA GOVERNMENT BUSINESS INC,2011-03-03,2019-03-27,20451127096.53,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,KY,USA,1173,department-of-defense,CONT_AWD_HT940211C0003_9700_-NONE-_-NONE-
309505151,N0002412C2115,ELECTRIC BOAT CORPORATION,2012-04-13,2027-08-01,20183699820.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-
295475790,DEAC0205CH11231,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2005-06-01,2030-05-31,19743215928.42,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,CA,USA,930,department-of-energy,CONT_AWD_DEAC0205CH11231_8900_-NONE-_-NONE-
307885533,HT940210C0002,"HEALTH NET FEDERAL SERVICES, LLC",2010-05-13,2025-08-25,19414789943.3,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_HT940210C0002_9700_-NONE-_-NONE-
309494374,N0001914C0067,THE BOEING COMPANY,2014-08-14,2027-11-30,18111838529.78,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,WA,USA,1173,department-of-defense,CONT_AWD_N0001914C0067_9700_-NONE-_-NONE-
295475894,DEAC0343SF00048,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,1999-10-27,2007-09-30,18009881071.27,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,CA,USA,930,department-of-energy,CONT_AWD_DEAC0343SF00048_8900_-NONE-_-NONE-
295526997,DENA0002839,"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",2015-07-09,2030-09-30,17432021005.91,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,MO,USA,930,department-of-energy,CONT_AWD_DENA0002839_8900_-NONE-_-NONE-
295475794,DEAC0206CH11357,"UCHICAGO ARGONNE, LLC",2006-07-31,2026-09-30,17318912548.91,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,IL,USA,930,department-of-energy,CONT_AWD_DEAC0206CH11357_8900_-NONE-_-NONE-
295476901,DEAC2701RV14136,"BECHTEL NATIONAL, INC.",2000-12-15,2027-04-11,17244586105.74,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,WA,USA,930,department-of-energy,CONT_AWD_DEAC2701RV14136_8900_-NONE-_-NONE-
309504148,N0002409C2104,ELECTRIC BOAT CORPORATION,2008-12-22,2023-08-31,16238775949.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-
311388067,NNJ06TA25C,LOCKHEED MARTIN CORP,2006-09-06,2027-04-15,15555973334.93,National Aeronautics and Space Administration,National Aeronautics and Space Administration,DEFINITIVE CONTRACT,,,,,CO,USA,862,national-aeronautics-and-space-administration,CONT_AWD_NNJ06TA25C_8000_-NONE-_-NONE-
295475824,DEAC0276SF00515,THE LELAND STANFORD JUNIOR UNIVERSITY,1978-11-20,2027-09-30,14884413468.37,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,CA,USA,930,department-of-energy,CONT_AWD_DEAC0276SF00515_8900_-NONE-_-NONE-
292026551,89233018CNR000004,"FLUOR MARINE PROPULSION, LLC",2018-07-12,2028-09-30,14781032587.06,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,PA,USA,930,department-of-energy,CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-
309507609,N0002418C2130,"FLUOR MARINE PROPULSION, LLC",2018-07-12,2028-09-30,14426090803.57,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,PA,USA,1173,department-of-defense,CONT_AWD_N0002418C2130_9700_-NONE-_-NONE-
298461744,FA821920C0006,NORTHROP GRUMMAN SYSTEMS CORP,2020-09-08,2029-03-10,13396478923.19,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,UT,USA,1173,department-of-defense,CONT_AWD_FA821920C0006_9700_-NONE-_-NONE-
307885604,HT940212C0001,"UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC",2012-03-20,2019-02-15,13145560374.49,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,MN,USA,1173,department-of-defense,CONT_AWD_HT940212C0001_9700_-NONE-_-NONE-
309506484,N0002416C2116,HUNTINGTON INGALLS INC,2016-05-23,2036-06-02,12569612524.86,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,VA,USA,1173,department-of-defense,CONT_AWD_N0002416C2116_9700_-NONE-_-NONE-
272595544,0005,"FLUOR INTERCONTINENTAL, INC",2009-07-07,2025-09-30,12568636130.95,Department of Defense,Department of the Army,DELIVERY ORDER,,,,,,AFG,1173,department-of-defense,CONT_AWD_0005_9700_W52P1J07D0008_9700
309494466,N0001916C0033,LOCKHEED MARTIN CORPORATION,2015-12-21,2031-03-31,12269145508.23,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001916C0033_9700_-NONE-_-NONE-
348862099,W15QKN21C0012,PFIZER INC,2020-12-22,2023-06-30,11110134065.68,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,NY,USA,1173,department-of-defense,CONT_AWD_W15QKN21C0012_9700_-NONE-_-NONE-
298553869,FA861404C2004,THE BOEING COMPANY,2003-10-02,2017-10-31,11086769499.68,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_FA861404C2004_9700_-NONE-_-NONE-
309493751,N0001907C0001,BELL BOEING JOINT PROJECT OFFICE,2007-04-02,2018-08-06,11040980157.1,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001907C0001_9700_-NONE-_-NONE-
295476112,DEAC0500OR22800,"BWXT Y - 12, LLC",2000-08-31,2014-06-30,10985001041.33,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,TN,USA,930,department-of-energy,CONT_AWD_DEAC0500OR22800_8900_-NONE-_-NONE-
295477012,DEAC3608GO28308,"ALLIANCE FOR ENERGY INNOVATION, LLC",2008-07-29,2028-09-30,10790056186.9,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,CO,USA,930,department-of-energy,CONT_AWD_DEAC3608GO28308_8900_-NONE-_-NONE-
295476907,DEAC2708RV14800,WASHINGTON RIVER PROTECTION SOLUTIONS LLC,2008-06-20,2025-02-23,10572204771.54,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,WA,USA,930,department-of-energy,CONT_AWD_DEAC2708RV14800_8900_-NONE-_-NONE-
309494389,N0001915C0003,LOCKHEED MARTIN CORPORATION,2015-05-26,2032-12-31,10550927664.07,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001915C0003_9700_-NONE-_-NONE-
311426504,NNM07AB03C,THE BOEING COMPANY,2007-09-01,2028-12-31,10513304426.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,DEFINITIVE CONTRACT,,,,,AL,USA,862,national-aeronautics-and-space-administration,CONT_AWD_NNM07AB03C_8000_-NONE-_-NONE-
348949116,W31P4Q20C0023,LOCKHEED MARTIN CORPORATION,2020-04-30,2033-09-30,10478694385.9,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_W31P4Q20C0023_9700_-NONE-_-NONE-
297794617,F4261098C0001,NORTHROP GRUMMAN SYSTEMS CORPORATION,1998-07-01,2025-11-30,10009419769.13,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,UT,USA,1173,department-of-defense,CONT_AWD_F4261098C0001_9700_-NONE-_-NONE-
348950884,W31P4Q24C0022,LOCKHEED MARTIN CORPORATION,2024-06-28,2030-09-30,9852834751.99,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_W31P4Q24C0022_9700_-NONE-_-NONE-
298615624,FA881113C0003,"UNITED LAUNCH SERVICES, LLC",2013-06-26,2022-12-02,9499338750.87,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,CO,USA,1173,department-of-defense,CONT_AWD_FA881113C0003_9700_-NONE-_-NONE-
309501862,N0002403C2101,ELECTRIC BOAT CORPORATION,2003-08-14,2025-05-06,9397332305.22,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-
307239358,HQ014717C0032,LOCKHEED MARTIN CORPORATION,2017-03-27,2028-11-30,9080516982.62,Department of Defense,Missile Defense Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_HQ014717C0032_9700_-NONE-_-NONE-
297664627,F0470102C0002,LOCKHEED MARTIN CORP,2001-11-16,2021-01-31,9032605785.68,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_F0470102C0002_9700_-NONE-_-NONE-
274817171,0159,"KBR SERVICES, LLC",2008-09-24,2012-09-30,8949368388.58,Department of Defense,Department of the Army,DELIVERY ORDER,,,,,,IRQ,1173,department-of-defense,CONT_AWD_0159_9700_DAAA0902D0007_9700
298553472,FA861108C2897,LOCKHEED MARTIN CORPORATION,2008-01-01,2024-08-29,8821412144.17,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_FA861108C2897_9700_-NONE-_-NONE-
